Plot	Date.value	DataType	Core	Combined.code	Combined.code.2	Search.time.cum	CoarseRoot.cum	FineRoot.cum	TotRoot.cum	Search.Int	DaysBetween
BSouth	40805	Stock	11	40805.BSouth.11	BSouth.40805.11	30	1.94	0.95	2.89	3	1
BSouth	40805	Stock	11	40805.BSouth.11	BSouth.40805.11	40	1.94	1.04	2.98	4	1
BSouth	40805	Stock	12	40805.BSouth.12	BSouth.40805.12	10	20.37	NA	NA	1	1
BSouth	40805	Stock	12	40805.BSouth.12	BSouth.40805.12	20	20.88	1.55	22.43	2	1
BSouth	40805	Stock	12	40805.BSouth.12	BSouth.40805.12	30	21.05	2.55	23.6	3	1
BSouth	40805	Stock	12	40805.BSouth.12	BSouth.40805.12	40	21.05	2.9	23.95	4	1
BSouth	40805	Stock	13	40805.BSouth.13	BSouth.40805.13	10	1.05	0.72	1.77	1	1
BSouth	40805	Stock	13	40805.BSouth.13	BSouth.40805.13	20	1.82	1.25	3.07	2	1
BSouth	40805	Stock	13	40805.BSouth.13	BSouth.40805.13	30	1.82	1.51	3.33	3	1
BSouth	40805	Stock	13	40805.BSouth.13	BSouth.40805.13	40	1.82	1.89	3.71	4	1
BSouth	40805	Stock	14	40805.BSouth.14	BSouth.40805.14	10	2.67	NA	NA	1	1
BSouth	40805	Stock	14	40805.BSouth.14	BSouth.40805.14	20	2.94	1.03	3.97	2	1
BSouth	40805	Stock	14	40805.BSouth.14	BSouth.40805.14	30	2.94	1.54	4.48	3	1
BSouth	40805	Stock	14	40805.BSouth.14	BSouth.40805.14	40	2.94	1.92	4.86	4	1
BSouth	40805	Stock	15	40805.BSouth.15	BSouth.40805.15	10	6.38	1.53	7.91	1	1
BSouth	40805	Stock	15	40805.BSouth.15	BSouth.40805.15	20	7.71	2.76	10.47	2	1
BSouth	40805	Stock	15	40805.BSouth.15	BSouth.40805.15	30	9.96	4.29	14.25	3	1
BSouth	40805	Stock	15	40805.BSouth.15	BSouth.40805.15	40	9.96	4.58	14.54	4	1
BSouth	40805	Stock	16	40805.BSouth.16	BSouth.40805.16	10	3.19	0.74	3.93	1	1
BSouth	40805	Stock	16	40805.BSouth.16	BSouth.40805.16	20	4.46	1.41	5.87	2	1
BSouth	40805	Stock	16	40805.BSouth.16	BSouth.40805.16	30	4.8	2.06	6.86	3	1
BSouth	40805	Stock	16	40805.BSouth.16	BSouth.40805.16	40	4.8	2.38	7.18	4	1
BNorth	40827	Stock	1	40827.BNorth.01	BNorth.40827.1	10	1.01	1.04	2.05	1	1
BNorth	40827	Stock	1	40827.BNorth.01	BNorth.40827.1	20	1.37	1.31	2.68	2	1
BNorth	40827	Stock	1	40827.BNorth.01	BNorth.40827.1	30	1.45	1.47	2.92	3	1
BNorth	40827	Stock	1	40827.BNorth.01	BNorth.40827.1	40	1.48	1.56	3.04	4	1
BNorth	40827	Stock	2	40827.BNorth.02	BNorth.40827.2	10	0	0.13	0.13	1	1
BNorth	40827	Stock	2	40827.BNorth.02	BNorth.40827.2	20	0	0.22	0.22	2	1
BNorth	40827	Stock	2	40827.BNorth.02	BNorth.40827.2	30	0	0.25	0.25	3	1
BNorth	40827	Stock	2	40827.BNorth.02	BNorth.40827.2	40	0	0.36	0.36	4	1
BNorth	40827	Stock	3	40827.BNorth.03	BNorth.40827.3	10	1.46	NA	NA	1	1
BNorth	40827	Stock	3	40827.BNorth.03	BNorth.40827.3	20	1.55	0.79	2.34	2	1
BNorth	40827	Stock	3	40827.BNorth.03	BNorth.40827.3	30	1.55	1.02	2.57	3	1
BNorth	40827	Stock	3	40827.BNorth.03	BNorth.40827.3	40	1.55	1.2	2.75	4	1
BNorth	40827	Stock	4	40827.BNorth.04	BNorth.40827.4	10	0	0.06	0.06	1	1
BNorth	40827	Stock	4	40827.BNorth.04	BNorth.40827.4	20	0	0.1	0.1	2	1
BNorth	40827	Stock	4	40827.BNorth.04	BNorth.40827.4	30	0	0.17	0.17	3	1
BNorth	40827	Stock	4	40827.BNorth.04	BNorth.40827.4	40	0	0.18	0.18	4	1
BNorth	40827	Stock	5	40827.BNorth.05	BNorth.40827.5	10	0.28	0.27	0.55	1	1
BNorth	40827	Stock	5	40827.BNorth.05	BNorth.40827.5	20	1.14	0.51	1.65	2	1
BNorth	40827	Stock	5	40827.BNorth.05	BNorth.40827.5	30	1.25	0.59	1.84	3	1
BNorth	40827	Stock	5	40827.BNorth.05	BNorth.40827.5	40	1.32	0.69	2.01	4	1
BNorth	40827	Stock	6	40827.BNorth.06	BNorth.40827.6	10	13.08	NA	NA	1	1
BNorth	40827	Stock	6	40827.BNorth.06	BNorth.40827.6	20	14.58	1.22	15.8	2	1
BNorth	40827	Stock	6	40827.BNorth.06	BNorth.40827.6	30	14.61	2.04	16.65	3	1
